model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,mpmic,pcvnd,notes,insrc
NMUD532F81-6000LI20,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.3v (XMP-1),DDR5-6000 (XMP-1) DDR5-4800 (Base),40-40-40-77-117 (XMP-1/Base) ,,SK hynix,SK hynix,H5CG48MEBDX014),N/A,Montage Technology STA5 153 57Q,Global Mixed-Mode Technology 5100-X50K12,,,TechPowerUp: https://www.techpowerup.com/review/neo-forza-trinity-ddr5-6000-cl40-2x-32-gb/3.html
NMGD516F81-6400FI00,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.4v,DDR5-6400 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMUD516F81-6400FI00,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.4v,DDR5-6400 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMGD516F81-6000LH00,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.3v,DDR5-6000 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMUD516F81-6000LH00,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.3v,DDR5-6000 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMUD516F81-6000LI20,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.3v,DDR5-6000 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMUD516F81-6000LH20,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.3v,DDR5-6000 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMUD532F81-6000LH00,DIMM,Unbuffered,non-ECC,32 GiByte,2Rx8,16 Gibit,1.3v,DDR5-6000 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMGD516F81-5600EI00,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.2v,DDR5-5600 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMUD516F81-5600EI00,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.2v,DDR5-5600 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMUD516F81-5600EI20,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.2v,DDR5-5600 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMUD516F81-5600EH20,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.2v,DDR5-5600 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
NMUD532F81-5600KI00,DIMM,Unbuffered,non-ECC,32 GiByte,2Rx8,16 Gibit,1.25v,DDR5-5600 (OC) DDR5-4800 (Base),40-40-40-77,,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
